ACFT_ID,Op Type,Flap_ID,B,C,D,R
747400RN,D,T_10D,0.00196533,0.20807,,0.104806
747400RN,D,T_10U,,,,0.080747
747400RN,D,T_05U,,,,0.069557
747400RN,D,T_01U,,,,0.057003
747400RN,D,T_00U,,,,0.051016
747400RN,A,A_00U,,,,0.051106
747400RN,A,A_01U,,,,0.069366
747400RN,A,A_05U,,,,0.08068
747400RN,A,A_10U,,,,0.084342
747400RN,A,A_20D,,,,0.100563
747400RN,A,A_30D,,,0.199852,0.140628
7673ER,D,T_05,0.0046246,0.29168,,0.087093
7673ER,D,T_05U,,,,0.06617
7673ER,D,T_01,,,,0.055405
7673ER,D,T_00,,,,0.049682
7673ER,A,A_00,,,,0.05035
7673ER,A,A_01,,,,0.061345
7673ER,A,A_05,,,,0.073196
7673ER,A,A_20,,,,0.085953
7673ER,A,A_30,,,0.265597,0.128454
7773ER,A,F_20,,,0.22534,0.10497
7773ER,A,F_30,,,0.20949,0.13491
7773ER,D,FLAP_0,,,,0.050171
7773ER,D,FLAP_1,,,,0.054934
7773ER,D,FLAP_5,0.00271,0.24,,0.0661
7879,D,T_05,0.0037163,0.25495,,0.085797
7879,D,T_05U,,,,0.062695
7879,D,T_01,,,,0.052726
7879,D,T_00,,,,0.048864
7879,A,A_00,,,,0.049534
7879,A,A_01,,,,0.055921
7879,A,A_05,,,,0.079529
7879,A,A_20,,,,0.104082
7879,A,A_30,,,0.24154,0.110598
A320-270N,A,A_ZERO,,,,0.055129
A320-270N,A,A_1_U,,,,0.060281
A320-270N,A,A_2_U,,,,0.067725
A320-270N,A,A_2_D,,,,0.096499
A320-270N,A,A_3_D,,,0.38830234,0.099759
A320-270N,A,A_FULL_D,,,0.357949156,0.119306
A320-270N,D,D_ZERO,,,,0.055822
A320-270N,D,D_1_U,,,,0.067532
A320-270N,D,D_1+F_U,,,,0.07212
A320-270N,D,D_1+F_D,0.008099986,0.397831,,0.116363
A321-270N,A,AZERO,,,,0.054481
A321-270N,A,A1U,,,,0.073151
A321-270N,A,A2U,,,,0.07943
A321-270N,A,A2D,,,,0.102541
A321-270N,A,A3D,,,0.363507,0.110236
A321-270N,A,AFULLD,,,0.342317,0.132295
A321-270N,D,DZERO,,,,0.053358
A321-270N,D,D1U,,,,0.061204
A321-270N,D,D1+FU,,,,0.074639
A321-270N,D,D1+FD,0.007645,0.388066,,0.110747
A330-743L,D,DZERO,,,,0.053895
A330-743L,D,D1U,,,,0.056452
A330-743L,D,D1+FU,,,,0.064768
A330-743L,D,D1+FD,0.003879,0.273092,,0.126905
A330-743L,A,AZERO,,,,0.05661
A330-743L,A,A1U,,,,0.063067
A330-743L,A,A2U,,,,0.069514
A330-743L,A,A2D,,,,0.089175
A330-743L,A,A3D,,,0.229675,0.098204
A330-743L,A,AFULLD,,,0.221176,0.107861
A350-1041,D,DZERO,,,,0.047583
A350-1041,D,D1U,,,,0.058654
A350-1041,D,D1+FU,,,,0.062063
A350-1041,D,D1+FD,0.00281765,0.2376449,,0.090396
A350-1041,A,AZERO,,,,0.046832
A350-1041,A,A1U,,,,0.057384
A350-1041,A,A2U,,,,0.063101
A350-1041,A,A2D,,,,0.08362
A350-1041,A,A3D,,,0.219203,0.096931
A350-1041,A,AFULLD,,,0.210727,0.11276
ERJ190-300,D,F1-DN,0.009660366,0.471274666,,0.114722175
ERJ190-300,D,F1-UP,,,,0.081263701
ERJ190-300,D,F0-UP,,,,0.068480495
ERJ190-300,A,F0-UP,,,,0.052829621
ERJ190-300,A,F1-UP,,,,0.063716547
ERJ190-300,A,F2-UP,,,,0.068707444
ERJ190-300,A,F3-DN,,,,0.106421881
ERJ190-300,A,F5-DN,,,0.420920081,0.105638511
ERJ190-400,D,F1-DN,0.010605918,0.470651317,,0.111733624
ERJ190-400,D,F1-UP,,,,0.077380623
ERJ190-400,D,F0-UP,,,,0.060316468
ERJ190-400,A,F0-UP,,,,0.053719893
ERJ190-400,A,F1-UP,,,,0.062218688
ERJ190-400,A,F2-UP,,,,0.0708877
ERJ190-400,A,F3-DN,,,,0.103476957
ERJ190-400,A,F5-DN,,,0.421152438,0.106832042
FAL900EX,A,SF0,,,,0.0658
FAL900EX,A,SF0-AB,,,,0.1
FAL900EX,A,SF1,,,,0.0709
FAL900EX,A,SF3-D,,,0.64376,0.133333
